sifra_bs;naziv;brend;adresa;mesto;gps_lat;gps_lon
914;B.S. BAČEX;1;JNA 133;BAČ;44.97120400;19.61920000
915;B.S. SAVA;1;Bulevar Arsenija Čarnojevića 30 a;NOVI BEOGRAD;44.80968400;20.42685100
919;B.S. PEĆINCI-AUTOPUT;1;Auto-put BG-ZG;PECINCI;44.91974800;19.96132100
926;B.S. CELTIC;1;Vitkovo bb;ALEKSANDROVAC KR;43.27000000;21.13000000
942;B.S. STARA PAZOVA 2;1;Svetosavska bb;STARA PAZOVA;44.98478700;20.16128500
946;B.S. ŠID;1;Đure Jakšića bb;SID;45.12059200;19.22547300
947;B.S. KRNJEŠEVCI;1;Auto-put BG-ZG;KRNJESEVCI;44.87887100;20.12259700
948;PRODAVNICA BR.2 PC NOVI SAD;1;Narodnog fronta 12;NOVI SAD;45.24213600;19.84119300
949;B.S. BAČKA TOPOLA;1;Vašarište bb;BACKA TOPOLA;45.80846900;19.63936500
951;B.S. DUNAV;2;Pančevački put 32d;BEOGRAD;44.83863831;20.49834251
980;BS TOŠIN BUNAR;;TOŠIN BUNAR;Novi  Beograd;44.81464420;20.39428990
981;BS Blok 45;;Blok 45;Novi Beograd;44.80040000;20.37889000
982;BS Blok 66a;;Blok;Novi Beograd;44.81134700;20.40537900
