sifra_bs;naziv;brend;adresa;mesto;gps_lat;gps_lon
657;B.S. ŽARKOVO 1;2;Trgovačka 74;BEOGRAD;44.75137000;20.41227600
658;B.S. ŽARKOVO 2;2;Trgovačka 91;BEOGRAD;44.75132700;20.41287700
659;B.S. 1000 RUŽA;1;Avalski put bb;BEOGRAD;44.71536400;20.50396400
660;B.S. LIPOVICA 1;1;Bgd.-Lazarevac bb, Barajevo;BEOGRAD;44.63888000;20.41246900
662;B.S. KRALJEVO 2;1;Čibukovac bb;KRALJEVO;43.72191700;20.64477000
664;B.S. PETROVAC NA MLAVI;1;Srpskih Vladara bb;PETROVAC NA MLAVI;44.38716900;21.40999300
666;B.S. BOLJEVAC;1;Dragiše Petrovića b.b.;BOLJEVAC;43.82678000;21.94510500
667;B.S. LOZNICA;1;Luke Stevića bb;LOZNICA;44.53722200;19.22347800
668;B.S. LEBANE;1;Cara Dušana bb;LEBANE;42.92171700;21.74190000
674;B.S. BOGATIĆ;1;Mike Mitrovića bb;BOGATIC;44.83428200;19.47758000
675;B.S. KOSTOLAC;1;Karađorđeva br 28;KOSTOLAC;44.71137300;21.17844300
676;B.S. ARANĐELOVAC 2;1;Zanatlijska bb;ARANDJELOVAC;44.30281900;20.58743500
679;B.S. NOVA VAROŠ;1;Magistralni put bb;NOVA VAROS;43.45946800;19.81978600
681;B.S. OBRENOVAC GRAD;1;Cara Lazara 1;BEOGRAD;44.65043300;20.19323600
683;B.S. NOVI PAZAR 1;1;M. Jovanovića  br. 1;NOVI PAZAR;43.14461900;20.51389900
684;B.S. BCA 1;1;Južni bulevar 70;BEOGRAD;44.79312700;20.47748600
685;B.S. BCA 2;1;Južni bulevar 73;BEOGRAD;44.79359900;20.47911600
688;B.S. KUČEVO;1;Svetog Save br. 301;KUCEVO;44.47212000;21.67784900
690;B.S. VALJEVO 4;1;Obilazni put;VALJEVO;44.27382900;19.92439300
694;B.S.  POŽAREVAC 2;1;Sinđelićeva 1;POZAREVAC;44.62238800;21.18314300
696;B.S. ALEKSANDROVAC;1;Kralja A. Obrenovica bb;ALEKSANDROVAC  PO;44.44349500;21.21395600
698;B.S. BUJANOVAC GRAD 2;1;K. Petrovića br 183;BUJANOVAC;42.46130000;21.76657700
699;B.S. UMKA;1;13. oktobra 45;BEOGRAD;44.67875700;20.30370000
700;B.S. VLADIČIN HAN;1;Nikole Tesle br 3b;VLADICIN HAN;42.70692600;22.06149100
701;B.S. ŽAGUBICA;1;Trg J.Šerbanovića bb;ZAGUBICA;44.19720400;21.78717600
704;B.S. BARAJEVO;1;Svetosavska bb;BEOGRAD;44.57728400;20.41261900
705;B.S. ČAČAK 2;1;Svetog  Save bb;CACAK;43.89012300;20.34339700
706;B.S. LEDENA STENA;1;Dimitrija Tucovića bb;NIS;43.31546600;21.86466000
707;B.S. JAGODINA 2;1;Knjeginje Milice bb;JAGODINA;43.96932400;21.27131200
708;B.S. LAZAREVAC-GRAD;1;Dula Karaklajića;ZEMUN;44.38139700;20.25765200
712;B.S. SREMSKA  KAMENICA;1;Vojvode Putnika br 83;SREMSKA KAMENICA;45.24290100;19.83933400
714;B.S. ŽITORAĐA;1;Topličkih heroja 1 a;ZITORADJA;43.18723400;21.72514200
715;B.S. VLASOTINCE;1;29. novembra bb;VLASOTINCE;42.96371000;22.11554300
716;B.S. BRUS;1;Kralja Petra bb;BRUS;43.37940900;21.04111400
717;B.S. BLACE;1;Kralja Petra 4;BLACE;43.29563900;21.29686800
718;B.S. KRAGUJEVAC 3;1;Kraljevački bataljon;KRAGUJEVAC;43.99846300;20.88383000
720;B.S. KOLARI;1;Autoput Beograd - Niš;KOLARI;44.57593200;20.89204800
721;B.S. LOZOVIČKA ČESMA;1;Autoput Beograd - Niš;VELIKA PLANA;44.46937300;21.03804600
723;B.S. LOZOVIK;1;M. Miloševića bb;LOZOVIK;44.47484500;21.07948100
725;B.S. ZAJEČAR 3;1;Negotinski put bb;ZAJECAR;43.91183900;22.29218200
727;B.S. ODŽACI;1;Somborski put bb;ODZACI;45.51513400;19.24828300
730;B.S. VRANJE-GRAD;1;Trg bratstva i jedinstva bb;VRANJE;42.54438400;21.89927100
732;B.S. STAPAR;1;Karađorđev plac bb;STAPAR;45.66362100;19.20131200
734;B.S. KRUŠEVAC 2;1;Savska bb;KRUSEVAC;43.59130400;21.35446100
735;B.S. KRUŠEVAC 3;1;Blagoja Parovića bb;KRUSEVAC;43.57010400;21.33785200
739;B.S. ARILJE;1;Stevana Čolovića 21;ARILJE;43.75790100;20.09283500
745;B.S. VELIKA  PLANA   GRAD 2;1;Vojvode Mišića 1;VELIKA PLANA;44.33633600;21.07598300
747;B.S. SVILAJNAC;1;Visokog Stevana bb;SVILAJNAC;44.23291000;21.18616800
748;B.S. BABUŠNICA;1;Selo Izvor, Babušnica;BABUSNICA;43.08344400;22.39949200
751;B.S. UŽICE GRAD 2;1;Radničkog bataljona bb;UZICE;43.85931000;19.82540800
752;B.S. STOPANJA;1;Stopanja;STOPANJA;43.57772100;21.15494700
753;B.S. CRNA TRAVA;1;Milentija Popovića b.b.;CRNA TRAVA;42.80880700;22.30132300
754;B.S. PROKUPLJE 2;1;Milića Rakića bb;PROKUPLJE;43.23126500;21.59148200
755;B.S. SVRLJIG;1;Radetova 30;SVRLJIG;43.41747500;22.12522000
757;B.S. NEGOTIN 4;1;Zaječarski put bb;NEGOTIN;44.23215900;22.50725300
758;B.S. RATKO PAVLOVIĆ;1;Ratko Pavlović bb;NIS;43.32849000;21.90830500
761;B.S. LESKOVAC GRAD 3;1;Kralja Petra I bb;LESKOVAC;42.99018900;21.96214200
762;B.S. KRALJEVO 3;1;Olge Jovičić bb;KRALJEVO;43.72786100;20.68832900
763;B.S. PODUNAVCI;1;Podunavci bb;KRALJEVO;43.67258500;20.83037900
764;B.S. RESNIK;1;13. oktobra 409;BEOGRAD;44.71339000;20.45296000
767;B.S. LESKOVAC GRAD 4;1;Radnička bb;LESKOVAC;42.98581100;21.95501800
771;B.S. JAGODINA 3;1;Kneza Lazara bb;JAGODINA;43.98556700;21.25101300
